Национальность,Игрок,Клуб,Амплуа,Голы,Пенальти,Мин./Гол,Минуты,Игры
Россия,Гамид Агаларов,Уфа,нападающий,19,6,121.68,2312,29
Колумбия,Матео Кассьерра,Сочи,нападающий,14,0,132.86,1860,22
Россия,Дмитрий Полоз,Ростов,нападающий,14,5,143.36,2007,27
Россия,Фёдор Смолов,Локомотив М / Динамо М,нападающий,12,2,162.67,1952,26
Россия,Артём Дзюба,Зенит,нападающий,11,1,146.18,1608,28
Румыния,Эрик Бикфалви,Урал,полузащитник,10,0,231,2310,28
Россия,Иван Сергеев,Крылья Советов / Зенит,нападающий,10,2,207.8,2078,29
Россия,Денис Глушаков,Химки,полузащитник,10,4,227.2,2272,27
Россия,Даниил Фомин,Динамо М,полузащитник,10,7,246.5,2465,29
Россия,Рифат Жемалетдинов,Локомотив М,полузащитник,9,0,181.44,1633,24
Россия,Владислав Сарвели,Крылья Советов,нападающий,9,0,210.11,1891,29
Россия,Даниил Уткин,Ахмат,полузащитник,9,0,245.78,2212,28
Россия,Александр Соболев,Спартак М,нападающий,9,4,196.33,1767,26
Бразилия,Малком,Зенит,нападающий,8,0,233.13,1865,24
Дания,Андерс Дрейер,Рубин,полузащитник,8,1,151.13,1209,14
Буркина-Фасо,Мохамед Конате,Ахмат,нападающий,8,1,175.5,1404,27
Бразилия,Клаудиньо,Зенит,полузащитник,8,1,227.63,1821,23
Россия,Николай Комличенко,Ростов,нападающий,8,2,215.63,1725,28
Россия,Артур Юсупов,Сочи,полузащитник,8,2,250,2000,26
Турция,Юсуф Языджи,ЦСКА,полузащитник,8,3,100,800,10
Армения,Эдуард Сперцян,Краснодар,полузащитник,8,3,250.88,2007,25
Россия,Николай Калинский,Нижний Новгород,полузащитник,8,4,326.25,2610,29
Россия,Александр Ерохин,Зенит,полузащитник,7,0,130.86,916,28
Россия,Максим Глушенков,Крылья Советов,нападающий,7,0,202.57,1418,28
Россия,Вячеслав Грулёв,Динамо М,полузащитник,7,0,207.86,1455,26
Россия,Арсен Захарян,Динамо М,полузащитник,7,0,350.57,2454,29
Иран,Сердар Азмун,Зенит,нападающий,7,1,138.14,967,15
Франция,Вильсон Изидор,Локомотив М,нападающий,7,2,127.43,892,11
Эквадор,Кристиан Нобоа,Сочи,полузащитник,7,5,292.14,2045,25
Беларусь,Виталий Лисакович,Локомотив М / Рубин,нападающий,6,0,216.67,1300,25
Россия,Константин Тюкавин,Динамо М,нападающий,6,0,251,1506,30
Польша,Себастьян Шиманьски,Динамо М,полузащитник,6,0,361.5,2169,27
Колумбия,Джон Кордоба,Краснодар,нападающий,6,1,167.83,1007,15
Нидерланды,Квинси Промес,Спартак М,полузащитник,6,1,275.67,1654,22
Болгария,Ивелин Попов,Сочи,полузащитник,5,0,138,690,21
Ямайка,Шамар Николсон,Спартак М,нападающий,5,0,154.6,773,12
Нидерланды,Гирано Керк,Локомотив М,полузащитник,5,0,353.4,1767,23
Нигерия,Чидера Эджуке,ЦСКА,нападающий,5,0,364,1820,30
Россия,Илья Кухарчук,Химки,полузащитник,5,0,397.2,1986,29
Россия,Андрей Мостовой,Зенит,полузащитник,5,1,195.4,977,28
Россия,Антон Заболотный,ЦСКА,нападающий,5,1,364,1820,24
Аргентина,Эсекьель Понсе,Спартак М,нападающий,4,0,140.25,561,7
Бразилия,Юри Алберто,Зенит,нападающий,4,0,185.25,741,11
Россия,Владимир Ильин,Краснодар,нападающий,4,0,231.75,927,22
Россия,Евгений Марков,Арсенал,нападающий,4,0,321.25,1285,28
Франция,Реми Кабелла,Краснодар,полузащитник,4,0,327,1308,16
Замбия,Кингз Кангва,Арсенал,полузащитник,4,0,378,1512,19
Россия,Александр Трошечкин,Химки / Ахмат,полузащитник,4,0,379.75,1519,25
Россия,Даниил Хлусевич,Арсенал / Спартак М,полузащитник,4,0,468.25,1873,25
Россия,Алексей Козлов,Нижний Новгород,защитник,4,0,470,1880,22
Россия,Антон Зиньковский,Крылья Советов,полузащитник,4,0,614,2456,30
Россия,Данил Глебов,Ростов,полузащитник,4,0,673,2692,30
Гамбия,Али Соу,Ростов,нападающий,4,1,201.5,806,18
Польша,Гжегож Крыховяк,Локомотив М / Краснодар,полузащитник,4,3,320.75,1283,15
Россия,Алексей Сутормин,Зенит,полузащитник,4,4,276,1104,25
Бразилия,Жоаозиньо,Сочи,нападающий,3,0,199.33,598,20
Чехия,Ян Кухта,Локомотив М,нападающий,3,0,248.67,746,10
Россия,Евгений Луценко,Арсенал,нападающий,3,0,284,852,21
Россия,Фёдор Чалов,ЦСКА,нападающий,3,0,310.67,932,16
Кот-д'Ивуар,Сенин Себай,Химки / Ахмат,нападающий,3,0,334,1002,23
Грузия,Зурико Давиташвили,Арсенал,полузащитник,3,0,398.67,1196,20
Россия,Константин Марадишвили,ЦСКА / Локомотив М,полузащитник,3,0,428,1284,24
Казахстан,Бактиёр Зайнутдинов,ЦСКА,полузащитник,3,0,452.33,1357,22
Замбия,Эванс Кангва,Арсенал,полузащитник,3,0,471,1413,22
Хорватия,Даниэль Мишкич,Урал,полузащитник,3,0,487.33,1462,21
Россия,Денис Макаров,Рубин / Динамо М,полузащитник,3,0,511,1533,25
Россия,Роман Зобнин,Спартак М,полузащитник,3,0,564,1692,25
Бразилия,Вендел,Зенит,полузащитник,3,0,664.33,1993,25
Россия,Кирилл Гоцук,Нижний Новгород,защитник,3,0,757,2271,27
Россия,Игорь Дивеев,ЦСКА,защитник,3,0,798.67,2396,27
