id,name,season,home_team_goal,away_team_goal,difference,total
1729,England Premier League,2008/2009,1,1,0,2
1730,England Premier League,2008/2009,1,0,1,1
1731,England Premier League,2008/2009,0,1,-1,1
1732,England Premier League,2008/2009,2,1,1,3
1733,England Premier League,2008/2009,4,2,2,6
1734,England Premier League,2008/2009,2,3,-1,5
1735,England Premier League,2008/2009,2,1,1,3
1736,England Premier League,2008/2009,3,1,2,4
1737,England Premier League,2008/2009,2,1,1,3
1738,England Premier League,2008/2009,4,0,4,4
1739,England Premier League,2008/2009,2,0,2,2
1740,England Premier League,2008/2009,4,4,0,8
1741,England Premier League,2008/2009,2,0,2,2
1742,England Premier League,2008/2009,0,1,-1,1
1743,England Premier League,2008/2009,0,3,-3,3
1744,England Premier League,2008/2009,1,0,1,1
1745,England Premier League,2008/2009,1,0,1,1
1746,England Premier League,2008/2009,3,2,1,5
1747,England Premier League,2008/2009,2,1,1,3
1748,England Premier League,2008/2009,2,0,2,2
1749,England Premier League,2008/2009,4,3,1,7
1750,England Premier League,2008/2009,2,1,1,3
1751,England Premier League,2008/2009,1,0,1,1
1752,England Premier League,2008/2009,1,1,0,2
1753,England Premier League,2008/2009,2,0,2,2
1754,England Premier League,2008/2009,2,0,2,2
1755,England Premier League,2008/2009,2,2,0,4
1756,England Premier League,2008/2009,1,2,-1,3
1757,England Premier League,2008/2009,2,1,1,3
1758,England Premier League,2008/2009,5,0,5,5
1759,England Premier League,2008/2009,2,1,1,3
1760,England Premier League,2008/2009,3,0,3,3
1761,England Premier League,2008/2009,1,2,-1,3
1762,England Premier League,2008/2009,1,3,-2,4
1763,England Premier League,2008/2009,1,2,-1,3
1764,England Premier League,2008/2009,1,2,-1,3
1765,England Premier League,2008/2009,0,2,-2,2
1766,England Premier League,2008/2009,2,1,1,3
1767,England Premier League,2008/2009,0,1,-1,1
1768,England Premier League,2008/2009,0,0,0,0
1769,England Premier League,2008/2009,5,0,5,5
1770,England Premier League,2008/2009,0,2,-2,2
1771,England Premier League,2008/2009,0,0,0,0
1772,England Premier League,2008/2009,1,1,0,2
1773,England Premier League,2008/2009,2,2,0,4
1774,England Premier League,2008/2009,1,2,-1,3
1775,England Premier League,2008/2009,2,1,1,3
1776,England Premier League,2008/2009,0,2,-2,2
1777,England Premier League,2008/2009,0,3,-3,3
1778,England Premier League,2008/2009,2,2,0,4
1779,England Premier League,2008/2009,0,0,0,0
1780,England Premier League,2008/2009,0,1,-1,1
1781,England Premier League,2008/2009,1,0,1,1
1782,England Premier League,2008/2009,0,0,0,0
1783,England Premier League,2008/2009,1,3,-2,4
1784,England Premier League,2008/2009,3,0,3,3
1785,England Premier League,2008/2009,2,2,0,4
1786,England Premier League,2008/2009,1,0,1,1
1787,England Premier League,2008/2009,1,0,1,1
1788,England Premier League,2008/2009,0,0,0,0
1789,England Premier League,2008/2009,0,0,0,0
1790,England Premier League,2008/2009,1,4,-3,5
1791,England Premier League,2008/2009,0,1,-1,1
1792,England Premier League,2008/2009,0,0,0,0
1793,England Premier League,2008/2009,0,0,0,0
1794,England Premier League,2008/2009,0,1,-1,1
1795,England Premier League,2008/2009,3,2,1,5
1796,England Premier League,2008/2009,1,1,0,2
1797,England Premier League,2008/2009,2,1,1,3
1798,England Premier League,2008/2009,1,2,-1,3
1799,England Premier League,2008/2009,1,0,1,1
1800,England Premier League,2008/2009,1,0,1,1
1801,England Premier League,2008/2009,0,2,-2,2
1802,England Premier League,2008/2009,2,3,-1,5
1803,England Premier League,2008/2009,2,2,0,4
1804,England Premier League,2008/2009,1,3,-2,4
1805,England Premier League,2008/2009,1,1,0,2
1806,England Premier League,2008/2009,0,2,-2,2
1807,England Premier League,2008/2009,1,1,0,2
1808,England Premier League,2008/2009,2,1,1,3
1809,England Premier League,2008/2009,2,2,0,4
1810,England Premier League,2008/2009,4,0,4,4
1811,England Premier League,2008/2009,0,0,0,0
1812,England Premier League,2008/2009,4,2,2,6
1813,England Premier League,2008/2009,1,1,0,2
1814,England Premier League,2008/2009,0,1,-1,1
1815,England Premier League,2008/2009,0,3,-3,3
1816,England Premier League,2008/2009,0,0,0,0
1817,England Premier League,2008/2009,3,0,3,3
1818,England Premier League,2008/2009,1,1,0,2
1819,England Premier League,2008/2009,1,0,1,1
1820,England Premier League,2008/2009,1,1,0,2
1821,England Premier League,2008/2009,0,1,-1,1
1822,England Premier League,2008/2009,0,0,0,0
1823,England Premier League,2008/2009,2,1,1,3
1824,England Premier League,2008/2009,3,0,3,3
1825,England Premier League,2008/2009,3,0,3,3
1826,England Premier League,2008/2009,2,1,1,3
1827,England Premier League,2008/2009,2,1,1,3
1828,England Premier League,2008/2009,1,4,-3,5
1829,England Premier League,2008/2009,3,0,3,3
1830,England Premier League,2008/2009,0,0,0,0
